正文,点赞数,评论数,转发数,话题,日期,完整日期
"户晨风先生出差一次
        拍摄视频的成本要多少钱 
        总计约10200元成本
        成本构成如下
        1飞机票来回约1500元
        2住宿费用3晚4天约1200元
        3随机给陌生人2000元
              随机给3次
              约6000元
        4摄影剪辑工资保险约1000元
        5餐饮打车约500元
        户晨风先生是真正的把赚到的钱回报社会
        每晚含辛茹苦的赚钱
        然后赠与社会上的陌生人
        带动就业和消费 
图1户晨风先生约7岁时拍照留念位置不详",273,67,2,,2024-07-08,2024-07-08 14:47:59
"亲爱的网友们
        昨晚直播24小时
        收到了2522元的礼物
        平台拿50 
        剩下1261元
        纳税20即252元的税  
        到手1009元
        这几天偷懒一下
        之后得加油干了",338,72,0,,2024-07-08,2024-07-08 11:14:28
"户晨风先生出差住宿标准
        国际
        一线城市约1000元每晚
        国内
        一线城市约500600元每晚
        二线城市约400元每晚
        三线城市约300元每晚
        一般来讲
        户先生在国内都是住全季酒店
        且选择03年内新开业的酒店
        原因
        1环境舒适
        2网好
        3隔音
        4选酒店不用耗费精力
               默认全季或者更好的
        户先生为什么不住更高级的酒店 
        因为没有必要户先生仅仅是直播和睡觉
        没有其他需求秉承着努力奋斗的精神",710,126,1,,2024-07-07,2024-07-07 15:58:04
"昨天晚上在直播间讲的
        给聋哑外卖员的打赏记录
        我记错了是23年7月的事
        打赏了10元
        昨晚算是触景生情吧
        潸然泪下
        我能力有限
        希望大家理解",345,58,2,,2024-07-07,2024-07-07 11:00:07
"凌晨1点30分下直播
        洗澡刮胡子收拾行李
        凌晨2点30分睡觉
        早上7点30分就起床赶飞机
        试问谁还会像户晨风先生一样勤奋 
        真乃吾辈之楷模啊",536,76,3,,2024-07-06,2024-07-06 08:46:10
"韩国快递员1天工资能买多少东西户晨风全球购买力系列 
户晨风2023的微博视频",1147,308,82,,2024-07-05,2024-07-05 20:00:32
"亲爱的网友们昨晚直播2小时20分钟
        共收到3768元的礼物
        平台拿了1884元
        纳税376元
        到手1507元  
        真通透啊",334,67,1,,2024-07-05,2024-07-05 10:22:06
"户晨风先生为什么不每天在微博
        公布自己的直播收入了 
        因为太无聊了
        每天直播都是赚10002000
        每天公布一样的内容
        太乏味了
        网友们觉得
        我以后还要持续的更新每天的直播收入么",580,130,1,,2024-07-04,2024-07-04 17:12:27
"明天我将参加B站的官方直播
       给予高考后的考生一些填报志愿的建议
       有兴趣的可以关注一下哦",755,130,7,,2024-07-03,2024-07-03 15:09:58
"户晨风先生准备开启下一阶段的拍摄了 去哪个城市 各位有什么好主意么 
图为户晨风先生2004年左右在江苏省镇江市拍照留念",482,135,1,,2024-07-03,2024-07-03 10:52:44
"澳门奇遇
       我在澳门遭到了公交车司机
       非常粗暴的对待
       对我和我的家里人疯狂嘶吼
       事情经过如下
       7月1日约1506分
       我在澳门银河站
       坐上了25B路公交车
       图1车号he260车牌号Ab5127 
       图2是司机
       上车刷支付宝付费
       由于我的手机没有网络了电话卡到期
       我让我的家里人
       一位女性
       刷她的支付宝乘车码
       刷两次帮我付费
 可以这么操作因为上一班公交车就是这么操作的上一班的司机还跟我们说中间间隔3分钟刷下一个正常扣费的看图3
       我的家里人刷完自己的乘车码
       轮到我了我急忙和司机解释
       等下用她的支付宝给我刷
       这个时候司机开始疯狂怒吼
       你没看错没有任何前缀我的态度很好
       司机吼到赶紧刷怒吼
       然后我态度很好的解释
       我马上过几分钟用她的刷
       司机怒吼到不刷下去
       不行 
       我说上一个车我就是这么做的
       司机怒吼到我的车不行
       以上是我的模糊记忆
       大概意思就是这样
       对我和我的家人伤害太大
       冲击力太强当时我就懵在原地了
       车上所有人都在看我们司机让我下车
       我更是手足无措
       这时有个素不相识的姑娘看不下去了
       主动帮我刷了
       很感谢她后来我把钱转给她了
       图3第一个转账
       然后我坐在公交车上很害怕
       我怕这个司机有极端行为
       因为明显不正常
       直接怒吼而且就是吵架的怒吼
       真的莫名其妙
       我为我说的所有的话负法律责任
       我恳请 
       公布未经剪辑的
       从我上公交车到下车的整个监控过程
       澳门公交车上全车覆盖摄像头的
       让网友们评判一下
       我很喜爱中国澳门这座城市
       我从小就很向往
       但是这种莫名其妙的暴力行为
       我不能接受 
       我全程没有和司机吵架
       没有攻击辱骂司机 
       我很尊重司机
       司机却这样对待乘客让人心寒",1139,197,7,,2024-07-02,2024-07-02 17:01:05
"户晨风先生参观原香港警署监狱
       现为旅游景点请勿恶意解读  
香港",756,110,7,,2024-06-29,2024-06-29 14:19:39
"户晨风先生在中国香港 
香港",575,78,3,,2024-06-28,2024-06-28 21:35:29
"这些年走过这么多城市和国家以及地区
        只有韩国的网速是最快的
        没有之一甚至是快捷酒店
        Wifi速度无与伦比
        高速的网络基础设施
        我将于8月份再赴首尔
        没有对比就没有伤害
        韩国真是不简单啊
 
香港",986,178,5,,2024-06-28,2024-06-28 00:12:13
"香港旺角
        一碗牛肉丸米线38元港币4个牛肉丸
        贵不贵 
香港",332,101,5,,2024-06-27,2024-06-27 21:14:08
"户晨风先生将抵达中国香港
        6月26日7月1日
        户晨风将在香港和澳门度过
        望周知",571,66,1,,2024-06-27,2024-06-27 14:47:34
"我最爱吃的食物牛排寿司汉堡
        主要是卫生而且营养均衡
        真的太棒了
        我记得我从小就爱吃汉堡
        我至今记得2008年的时候
        我妈给我100块钱
        让我跟表哥去吃肯德基的情景",700,146,5,,2024-06-26,2024-06-26 19:06:53
"一切都是刚刚开始
        今天户晨风先生
        将向中国国家金融监管总局
        投诉关于贵司售卖耍猴保险的事项
        我为什么这么做 
        因为我不希望其他消费者被坑
        我一天纳税都将近500元
        我心疼的不是买保险的500元
   图16月初户晨风在新加坡街头留念",1213,160,18,,2024-06-26,2024-06-26 10:15:15
"飞机延误险有大坑我是这么做的 
户晨风2023的微博视频",667,73,22,,2024-06-25,2024-06-25 18:02:38
"高考生选专业尽量不要听父母的意见
        因为你的父母大概率还没你站得高
        找你父母认识的朋友
        或者亲戚里面混的最好的去咨询
        混得好指有钱有地位
        别说我势利眼
        混得好大概率看得远
        当然了可以参考父母的意见建议",632,135,3,,2024-06-25,2024-06-25 12:02:29
"网友们今天我又高兴了
        今日纳税480元
        我的个人所得税税率上涨到了24了
        终于能给社会做更多的贡献了
        一直觉得自己碌碌无为
        终于有一点成就感了",358,68,1,,2024-06-24,2024-06-24 13:27:38
"维权贴
我被航旅纵横坑惨了
        我3月23日在航旅纵横上买了个
        全年延误保障499元
        保障航班延误1年延误就赔图12
        6月22日我乘坐的
        Ca4228次航班
        延误近4小时才到达目的地
        图3是中国国航给我开具的延误证明
        航旅纵横人工客服说
        没有达到理赔条件不认图4
        理赔条件是图2红线处
        航班延误时间以实际到达时间与变更后最新的计划到达时间差值为准
        经常坐飞机的都知道
        航班即使延误了
        也会更新最新的计划到达时间
        举例原本你1点起飞5点到
        延误3小时
        4点起飞8点到
        8点就是最新的计划到达时间航空公司会更新
        按照这个逻辑
        岂不是永远都不会有延误了 
        航旅纵横作为平台方
        就这样审核平台售卖的保险产品 
        坑死我了",1923,226,87,,2024-06-23,2024-06-23 17:36:38
"人一定要顺势而为个人的能力没有多大的
        户晨风先生做短视频亦是如此
        2023年2月
        第一个100元购买力视频
        就有几千万的播放量
        再到后面的养老金视频
        随机给陌生人钱
        收入公开
        全球见闻等系列视频
        享誉全球华人圈
        这一切难道是因为户先生有能力么 
        更大的是时代的机遇
        感谢这个时代
        否则一切都是浮云
        图1约2013年户晨风先生在江苏镇江西津渡摄影留念",714,111,7,,2024-06-23,2024-06-23 11:31:54
"6月26日7月1日
      户晨风先生将在此期间度假
      直播不停止
      请各位网友推荐度假胜地
      国内外都可
      要求免签有机场有五星级酒店治安良好气温适宜
              花销控制在1万元内
图1为户晨风先生2011年7月京沪高铁刚开通在上海虹桥火车站拍摄留念",650,145,1,,2024-06-21,2024-06-21 16:55:06
"5月份我赚了5万多户晨风收入公开系列2024年5月 
户晨风2023的微博视频",342,56,10,,2024-06-21,2024-06-21 12:59:26
"早上好昨晚直播4小时
        共收到18542元的礼物
        平台拿一半
        我到手9271元
        在缴纳了20
        即1854元的个人所得税之后
        我净到手7416元
        感恩各位直播间的总各位网友
        通透",568,128,2,,2024-06-20,2024-06-20 09:20:57
"兄弟们回成都回不起了
        机票太贵了都跟高铁一个价了
        怎么办 
        求支招",322,124,3,,2024-06-19,2024-06-19 12:35:23
"网友们昨晚直播3小时
        收到了10226元的礼物
        平台拿50
        我还剩5113元
        再光荣的缴纳20
        即1022元的个人所得税之后
        我还剩4091元
        直播3小时赚了4091元
        通透 
        感谢各位直播间的总 和网友",560,77,3,,2024-06-19,2024-06-19 09:15:35
"户晨风先生将申请韩国5年多次签证
        我将在未来2月内
        再赴首尔
        不仅要去还要常去
        用镜头真实记录韩国的现状
        大韩民国见闻实录
        我将在韩国聘请一位翻译
        用镜头和韩国底层百姓聊一聊 
杭州",591,204,6,,2024-06-18,2024-06-18 13:03:28
"户晨风先生从一个最普通
        干着最脏最累的活的
        普通的汽修工人
        一步一步
        成为全球华人领域著名视频博主
        如今年入约上百万元人民币
        还有比这更励志更正能量的么 
        所以户先生面对机会
        都努力抓住
        户先生知道在社会上打拼的不易 
上海",827,131,4,,2024-06-17,2024-06-17 12:55:35
"户晨风先生的一天
            830起床
            9点开始工作
                安排员工工作任务
                沟通视频拍摄
                调整视频发布日期
            12点结束上午工作
            13点出酒店门
            14点吃第一顿饭
            15点开始拍摄
            18点结束拍摄
            20点到达酒店
             21点开始直播
           直播3小时30分钟
        第二天凌晨0030分结束直播
             0200睡觉
             循环往复",269,44,2,,2024-06-17,2024-06-17 11:54:00
"老铁们昨晚直播3小时
        总共收到6000元的礼物
        到手3000元
        纳税20即600元的个人所得税之后
        实际到手2400元
        时薪800元
        通透",519,104,4,,2024-06-16,2024-06-16 10:49:34
"户晨风先生韩国见闻实录
        我在韩国公正公允如实拍摄的视频
        触动了很多人敏感且脆弱的内心
        因为简中互联网上多充斥着
        韩国棒子偷国等等言论
        我这次实地拜访韩国
        从首尔到釜山由北到南穿越韩国
        得出的结论让他们大吃一惊
        韩国并不是民不聊生更不是穷困潦倒
        而是发达现代包容富有
        随着我在韩国拍摄的视频最后一部的发布
        简中互联网关于韩国多么不堪的内容
        将被大洗牌 
        望周知",1599,465,28,,2024-06-14,2024-06-14 15:50:16
"早上赶飞机回江苏
        户晨风休息2天之后
        又开始了辛勤的奔波
        早餐简简单单麦当劳
        实惠又卫生
        路边的小早餐店你吃完窜稀",253,62,0,,2024-06-14,2024-06-14 09:52:18
"户晨风先生非工作时间的穿搭
        讲究一个方便舒适 
成都",346,67,1,,2024-06-12,2024-06-12 14:25:26
"拍摄一切顺利收获颇丰真是不虚此行啊
        户晨风先生和全球QS排名16名新加坡南洋理工大学陈女士一起共进晚餐
        我请的客花了近1000人民币
        通透 
新加坡高岛屋购物中心",471,108,0,,2024-06-11,2024-06-11 00:02:48
"新加坡的春熙路
        高端商场负一楼
        吃了个汉堡套餐
        1杯饮料一个鸡排汉堡2个炸鸡胸一个中份薯条一共70元人民币
        贵不贵 
新加坡ION Orchard",156,50,0,,2024-06-10,2024-06-10 14:39:50
"随着户晨风先生韩国3部曲
        第二部的发布
        关于对韩国的讨论愈发激烈
        让子弹飞一会
        真正的王炸在第3部
        望周知 
新加坡",312,48,2,,2024-06-10,2024-06-10 10:46:37
"新加坡的夜静悄悄
        此情此景户晨风先生思绪万千
        这么小的城市创造出这么大的奇迹
        人均GDP约8万美元 
        真乃奇迹 下南洋
 
新加坡",421,76,6,,2024-06-10,2024-06-10 01:03:35
"在新加坡午饭一个拌面一个猪肝肉沫汤一共37元人民币贵不贵啊 
新加坡",787,500,16,,2024-06-09,2024-06-09 14:14:07
"我在韩国送外卖一天赚800元韩国外卖员的一天户晨风全球记录系列 
户晨风2023的微博视频",411,52,39,,2024-06-09,2024-06-09 10:51:00
"户晨风先生在新加坡 
新加坡",359,34,2,,2024-06-08,2024-06-08 18:27:09
"老铁们新加坡一碗过桥米线里面肉啥都有2人份
       卖85元人民币贵不贵 
       心疼啊以后再也不来商场吃饭了只在食阁吃饭510新加坡元就能解决 
新加坡金文泰购物中心",105,47,3,,2024-06-08,2024-06-08 14:24:40
"老铁们新加坡一晚2500元的酒店看看吧
        我人还没到新加坡
        新加坡的一位总就给我定了每晚2500元的酒店总共定了4晚花了1万多人民币
        太感谢了小户这辈子还没住过2500元的酒店呢太奢侈了
        刚刚和这位新加坡的总吃饭人家又花了将近2000人民币吃的和牛太性情了 
        太有实力了 
新加坡新加坡市中心索菲特酒店Sofitel Singapore City Centre",589,58,3,,2024-06-07,2024-06-07 18:53:16
"去新加坡了
        回国待了几天又要离开
        不舍啊
        飞机上也得不停的工作
        努力奋斗才对得起追梦人 
厦门厦门高崎国际机场",287,45,0,,2024-06-07,2024-06-07 09:02:52
"老铁们昨天稀里糊涂的也不知道哪位总给我充的电充了2000多
        昨天提现2165元共纳税410元
        到手1755元
        通透",176,43,1,,2024-06-07,2024-06-07 08:26:06
"有网友问
        户晨风先生
        视频中广撒福音到处发钱
        直播里发表与众不同慷慨激昂的观点
        微博中循循善诱措辞严谨
        到底哪一面才是真实的你  
        答 
        如果你是个学生面对老师导员唯唯诺诺
        但是面对同学网友又愤世嫉俗
        如果你是个上班族面对领导唯唯诺诺
        面对老婆和亲戚又腰板硬起来了
        觉得自己是个人物了
        请问哪一面是真实的你 
        其实都是也都不是人是复杂的多面体
        如果你25岁以上还理解不了以上所说
        建议你多看看易中天品三国
        喜欢户先生哪一面就只关注哪一面
        无论哪一面户先生都是为了钱
        这是毋庸置疑的
 
厦门",257,51,2,,2024-06-06,2024-06-06 21:19:32
"今天直播停播 
        因为明后天高考
        我知道我直播间很多高中生
        我停播一晚少赚2000元 
        我宁愿不挣钱
        我也不能让他们在高考前夕
        沉迷于互联网直播 
        舍小我为大我 
        这就是户晨风先生",654,144,7,,2024-06-06,2024-06-06 11:57:02
"大学宿舍之殇
        大学应该全面取消宿舍
        学生自己去外面租房子住
        提供住宿不是公立大学的义务
        更不应该用纳税人的钱给学生提供住宿
        原因如下
        1公立大学的钱是用来给学生提供教育的应该把钱用在刀刃上提升教学质量
        2大学在解决住宿方面不专业住宿环境差甚至安全得不到保障比如安全通道不畅通火灾疏散问题而且已经发生了一些安全问题
         3大学生是成年人应该解决自己的住宿问题出社会也得自己解决
         4在外租房子反而更便宜现在的大学宿舍不到20平米住68人每人一年10002000的住宿费而且还有3个月不住宿租房子更有性价比
         5如果住学校宿舍便宜是福利应该给家庭困难的同学住而不是给所有人提供因为纳税人的钱是有限的
         
不攻击互相尊重友好交流看好经济发展仅代表个人观点我不一定对数据不一定准确请辩证看待",4611,926,20,,2024-06-06,2024-06-06 10:07:49
"户晨风先生答网友问
        问你是如何开启自己的短视频生涯的 
        答2023年1月底我母亲在上海做完甲状腺癌切除术后在江苏家中疗养
        从2018年2023年初我都很少回家一年基本只回23次所以我决定在家多陪母亲一段时间
        彼时我已经失业将近1年既无收入也无事业
        在2023年2月底发布我第一个购买力视频之前我已经决定在短视频掘金我觉的这是个时代的超级大风口一定要把握住
        在此之前已经自学了剪辑和学习其他大V的视频结构
        23年2月我经常刷到美国100美金购买力英国购买力我在想怎么没人拍人民币的购买力 
        然后就去超市拍了一期
        开启了我波澜壮阔的短视频事业
        我的第一期视频的播放量就是千万级别
        从而激发了我拍摄更多视频的动力
图1户晨风先生在2023年2月在江苏镇江的自拍",578,74,15,,2024-06-05,2024-06-05 22:18:54
"随着户晨风先生在韩国拍摄的韩国三部曲
        陆续的发布
        简中互联网关于韩国水深火热的争论
        将休已 
        一锤定音",636,127,3,,2024-06-05,2024-06-05 13:42:14
"户晨风先生答网友问
        问题1户先生你为什么只有高中学历 
        因为我不喜欢被人管更不喜欢学习我不喜欢的知识所以比较叛逆
        我在初中时我的历史地理都是近乎于满分但是其他科目都不行
        高中时我文化课的学习更是落下一大截
        但课内学习不好不代表我不喜欢学习
        高中时我阅读了大量的课外书籍国富论美国史英国史就业利息和货币通论乔布斯专
        然后高中毕业之后做了汽修工机械工私募基金研究员著名视频博主至今
        我的同学更是遍布全球各地各行各业有在加拿大修发动机的有在国内从事各行各业
  图1左1为户晨风先生在2004左右拍摄",721,197,10,,2024-06-03,2024-06-03 18:37:05
"随着户晨风先生在韩国拍摄的视频
        陆续的发布
        简体中文互联网对韩国的刻板印象
        将大洗牌 
        户晨风先生在简中互联网
        又留下了浓墨重彩的一笔
        数风流人物还看今朝",604,133,3,,2024-06-03,2024-06-03 12:49:18
"有网友发问 
        户晨风先生您说韩国是一个发达文明现代开放包容的国家的依据是什么 
        我在此仅举3例
        1请看图12是我早上醒来系统强制推送的信息图3是翻译后的意思一个小孩在附近失踪大概的体面特征而且这个推送你不可以关闭可以正常使用手机的但是会存在一个小通知
        图45是韩国法律规定地下车库门口的位置必须给残疾人用每个小区都是如此
        此为文明
        2韩国拥有繁荣兴盛的服务业图67商家林立消费者众多且韩国人均GDP在2014年已约3万美元三星现代乐天大韩航空等等赚全世界的钱
        此为发达
        3在韩国期间晚上吃夜宵途中图8曾两次有韩国人主动把没有吃的食物分给我看我在直播还给我加油
        此为包容
        以上韩国这个国家真的是不简单",1535,473,30,,2024-06-02,2024-06-02 15:54:50
"此时此刻接近凌晨1点
        户晨风先生刚落地成都
        回到家还需要近2小时
        试问还会有谁像户先生一样拼呢 
成都成都天府国际机场",250,55,3,,2024-06-02,2024-06-02 00:33:12
"户晨风先生韩国见闻实录
        简中互联网对韩国的评价都是小偷棒子可以说极尽贬低之能事
        以至于我也受到很大的影响
        在未降落在首尔之前我的预期很低
        但在首尔和釜山待了6天后
        有以下4点结论
        1韩国是一个发达文明现代开放包容的国家
        2韩国是一个真正与世界接轨融入世界的国家
        3韩国的社会充满着人与人的温情对陌生人的友善和对规则的遵守
        4大韩民族以后还能再创更大的奇迹大韩民族真是亚洲之星亚洲福音
        以后我还会来韩国旅游带家里人一起来旅游这是我的最高评价了
        户晨风先生在釜山飞往上海的飞机上发出以上感慨",2133,560,31,,2024-06-01,2024-06-01 18:21:49
"老铁们今天这顿午饭只要62人民币
        一个大猪排一碗乌冬面
         2个小菜1个汤
         真是不贵啊 此间乐不思蜀 
韩国Busan沙上",599,129,2,,2024-06-01,2024-06-01 12:14:22
"又来吃核辐射海鲜了真好吃啊
       2个海螺5个黑虎虾2个八爪鱼一共240元
       虾还给你剥好摊子挺干净的 
韩国南浦洞",400,104,2,,2024-05-31,2024-05-31 19:28:55
"户晨风先生在韩国釜山的拍摄圆满结束 
        努力奋斗才能梦想成真 
        明天下午6点户晨风先生将离开韩国
        回到心心念念
        夜不能寐魂牵梦绕的故乡 
韩国釜山",210,41,1,,2024-05-31,2024-05-31 17:05:07
"首尔见闻
        首尔真是一个文明发达现代的国际化城市
     1基础设施健全且高效服务的恰如其分
     2非常的安全凌晨1点走在路上十分安心
     3人与人之间和谐融洽十分有礼貌
     4不同国家不同地域的人在此交流碰撞
     5社会运营合理游客舒适放心高效
     韩国不愧为发达国家短短20多年
     从赤贫到人均GDP近4万美金
     步入发达国家行列
     真是首尔奇迹 
韩国首尔",1646,458,16,,2024-05-30,2024-05-30 11:11:06
"2015年7月
户晨风先生在中国满洲里中俄边境拍照留念",89,26,1,,2024-05-30,2024-05-30 11:03:08
"首尔时间凌晨2点户晨风先生下直播了
        直播了近4小时脖子酸痛 
        赚了1954元纳完约23
        即450元的税之后到手约1500元
        明天我将赶赴韩国釜山 
韩国Seoul korea",129,44,0,,2024-05-30,2024-05-30 01:04:53
"时间真的不够用全球各地跑
        陪伴家人的时间太少了心里不免愧疚
        户晨风先生
       6月1日晚上2330分到达成都天府机场
             2日有饭局
             3日去四川广安
             5日应约参观字节跳动成都公司预计
             6日成都飞厦门
             7日抵达新加坡 
韩国Seoul korea",229,56,3,,2024-05-29,2024-05-29 15:30:15
"首尔核心城区
        旅游的地方一个拌饭一个鸡蛋玉子烧一共100元人民币贵么 
         小菜都是免费的",260,150,6,,2024-05-29,2024-05-29 13:49:31
"在韩国地铁坐1号线来回换乘太复杂了 搞不懂路在地铁站里问韩国大叔英文交流
        直接给我领到站台站台很远还得坐电梯跟高铁站一样
        真是热心啊 
韩国Seoul korea",373,66,0,,2024-05-29,2024-05-29 11:22:29
"户晨风先生在首尔 
韩国首尔",163,38,2,,2024-05-28,2024-05-28 18:59:53
"早上好
        昨晚北京时间凌晨2点睡觉
        8点30就得起床
        时间不够用催人跑的感觉 
        昨晚直播4小时
        简简单单赚了2156元
        纳税近500元
        我骄傲
 
韩国仁川",235,40,0,,2024-05-28,2024-05-28 08:36:36
"卧槽一起送了6小时外卖
      我只记录我不送不涉及工作不涉及驾驶遵守韩国所有法律记录是出于我的自发 
       送麻了 送外卖真辛苦啊 不停的从一个地方到另一个地方 
        真是钱来之不易",216,29,2,,2024-05-27,2024-05-27 17:48:53
"我在韩国送外卖拍摄中
不是我本人送我只是第三方记录不涉及工作本人没有任何报酬 
韩国仁川",268,53,3,,2024-05-27,2024-05-27 13:36:12
"这是户晨风先生接下来15天的行程 
        早上好吃早饭了么 
        望周知",282,50,0,,2024-05-27,2024-05-27 08:42:39
兄弟们直播完出来走走这条街上花里胡哨的写的韩文我也看不懂感觉不太正能量啊有懂的么,306,51,0,,2024-05-27,2024-05-27 00:05:59
