正文,点赞数,评论数,转发数,话题,日期,完整日期
"这酒店360人民币一晚还行吧挺大
        但是为啥床头这么大一面镜子啊 
        这镜子是干啥用的 房间里老多镜子
        谁会在床上照镜子 
        为啥韩国的酒店都带电脑 
        另外晚饭一份牛肉大骨头带米饭90人民币
        你们觉得怎么样 
韩国한국방송통신대학교 인천지역대학 Korea National Open University Incheon Regional Campus",319,58,0,,2024-05-26,2024-05-26 20:11:35
"兄弟们韩国的机场大巴真高级啊航空座椅带腿脱空间非常大真的舒服还不贵半小时的车程48元人民币
        刚出机场就感觉大韩民族不简单啊 
        短短20多年创造的奇迹 
        再看看北边的兄弟真是令人唏嘘",572,166,5,,2024-05-26,2024-05-26 18:08:54
"户晨风先生已抵达韩国 
韩国",351,64,5,,2024-05-26,2024-05-26 17:17:38
"户晨风先生正在前往韩国首尔的路上
        户先生一直信奉努力奋斗才能梦想成真",290,59,4,,2024-05-26,2024-05-26 12:13:45
"2022年约5月份
        我受朋友邀请前往成都市环球中心参加一家新筹建的私募投资策略研讨会商讨未来的投资标的物投资金额是亿为单位
        会上公司的打工人包括邀请的成都市其他私募的投资研究人员都到齐了
        但是公司的大股东也就是投资人一家四川省地方房地产的家族企业缺姗姗来迟
        等了大约30分钟对方一家人才到
        我对这一家人的第一观感不好因为男的很胖女的打扮的很嘻哈没有歧视的意思就是单纯不喜欢
        对方一行4口人到会场之后很有礼貌道歉来迟了并且把一盒在山姆买的麻薯放会议桌上让大家分了吃
        那盒麻薯很多也很大那么多人一人分了一个竟然够
        我吃了一个但是不好吃
        会上大家商讨投资标的物轮流发言最后是投资人大老板房地产大老板60多岁做表态
        其他人都是泛泛而谈乏善可陈莫衷一是毫无判断
        我的发言直接让全场瞩目原本沉闷的会场竟然弥漫着一丝丝紧张的气息
       我始终秉承着不痛不痒的话说了等于没说
        说话要有结论和判断看好还是不看好直接点不要废话
        会议结束也是很巧是老板大公子的生日一群人在给他庆生说组织吃饭我也很识趣不便打扰毕竟不熟就和朋友打招呼识趣的提前退场了
        后来没几个月公司解散了因为牌照拿不下来这是我朋友跟我讲的这个朋友到今天我们关系也很好说实话我对这个结论存疑
        这就是昨天我在山姆超市看到麻薯想起的一件小事
        与君共享",408,137,14,,2024-05-11,2024-05-11 08:45:37
"凌晨1200下直播
         0100收拾好行李睡觉
         0600起床赶往机场
         0733到达机场
         0823登上飞机
         努力奋斗才能梦想成真啊
         干就完了不知疲惫 
成都成都天府国际机场",239,47,3,,2024-05-11,2024-05-11 08:27:44
"户晨风先生将于明日赶往宁波拍摄
        宁波拍摄完毕将于5月15日赶赴北京
        和于中美会面
        望周知",235,36,0,,2024-05-10,2024-05-10 19:10:19
"户晨风先生第一次逛美国山姆超市
        图5户晨风先生看到山姆的麻薯想到了在私募基金的峥嵘岁月
        稍晚户晨风先生将会分享麻薯与私募基金那些事",261,65,2,,2024-05-10,2024-05-10 16:57:48
"昨晚直播3小时简简单单赚了1200元
        纳税240元到手960元 
        我爱纳税 
        通透",629,113,7,,2024-05-10,2024-05-10 12:44:28
"户晨风先生是干汽修工的出身
        干的都是最脏最累的活
        身上都是机油和灰尘
        所以户先生做人做事都努力的抓住机会生怕错过 
       图1户先生2017年在汽修厂的照片
        早上好昨晚直播42小时赚了2451元纳税490元到手1961元
        通透",568,114,6,,2024-05-09,2024-05-09 09:53:56
"全球华人领域著名视频博主户晨风先生
        开启全球招聘
        在首尔釜山招聘兼职摄影
        要求
        1精通韩语
        2女性优先
        待遇
        工资100元人民币小时
        餐补50元
        路费补助30元
        拍摄视频播放激励分红
        工作时间5月下旬
        工作时长24小时
        工作地点首尔釜山市区范围
        有意者私信我
        
韩国首尔",941,116,6,,2024-05-08,2024-05-08 10:16:18
"户晨风先生刚刚结束了4个多小时的拍摄
        紧急赶赴家中进行直播
        努力奋斗才能梦想成真",325,46,0,,2024-05-07,2024-05-07 20:54:42
"兄弟们朋友早上又睁眼了 
        昨晚直播2小时涨了1700元今早又提现了2000元纳税320元 
        通透",119,26,0,,2024-05-07,2024-05-07 09:48:44
"户晨风先生的韩国签证通过了首尔见
户晨风先生将在5月底抵达韩国首都首尔
望周知
招聘启事
        户先生需要一名在首尔的兼职摄影工资人民币60元小时餐补30元人民币路费补助20元人民币需要精通韩文女性优先需成年有意者请私信我简历",785,126,2,,2024-05-06,2024-05-06 19:13:22
"老铁们早上又睁眼了 
        昨晚直播2小时挣了2700元早上一起来又提现2000元纳税350元 
        我骄傲 通透 
成都",573,105,2,,2024-05-06,2024-05-06 10:31:46
"睡醒了兄弟们 
        昨晚直播3个半小时礼物流水22万到手11万纳完20的个人所得税之后既2200元的税之后到手8800元 
         通透了 
         感谢各位网友 我爱直播",816,117,7,,2024-05-05,2024-05-05 09:11:55
"户晨风先生吃完就准备开启大型直播
比萨牛排寿司都是户先生爱吃的食物 
成都",665,88,0,,2024-05-04,2024-05-04 20:16:53
"离开互联网14天治好了我的精神内耗
       户晨风先生即将回归倒计时3天 
       没有网友们的这14天里我夜不能寐 
       辗转反侧 
       真可谓是
       垂死病中惊坐起拔剑四顾心茫然",1891,262,30,,2024-05-02,2024-05-02 13:13:43
"户晨风先生由甘肃省返回南京
望周知 
兰州",756,134,2,,2024-04-07,2024-04-07 14:28:38
"重要公告  
        户晨风先生拟在4月份于成都线上直播间召开2024年1季度股东大会汇报盈利情况答股东网友问",912,152,10,,2024-04-05,2024-04-05 13:25:28
"兄弟们高消费了啊
        今天又买了个大疆的新麦克风总共花了2700元
        买设备的钱都是最有性价比的别在乎这仨瓜俩枣
        拍出一个好视频一切都回本",107,20,1,,2024-04-05,2024-04-05 11:12:14
户晨风先生在甘肃省拍摄,200,35,0,,2024-04-04,2024-04-04 17:46:10
"不直播不代表不工作
        晚上2337分
        户晨风先生还在加班整理3月份全网的收入财报
        以便能够及时的向全球网友们公开财务情况 
        敬请期待",219,38,0,,2024-04-03,2024-04-03 23:40:11
"1点睡觉4点10分起床赶飞机
凌晨4点的成都
干就完了 
成都双流国际机场",83,26,0,,2024-04-03,2024-04-03 05:03:13
"小米之殇
        本人已体验过小米SU7以下仅为本人的主观体验请认真甄别 
        小米汽车大概率销量不好
        原因如下
        1空间小
             本人身高17965cm体重128斤
             前排副驾驶放脚的地方角度过大个人感觉大于45脚很难受图1感觉脚放不下来
       2后排座椅不舒服
             小板凳一样大腿前部腾空没有支撑图2乘坐难受
       3不适合家用
             综合乘坐下来只适合最多4人乘坐且会挤个人主观感受想带老婆孩子父母显然会非常挤得慌
        总结小米汽车方向错了应该开发中大型suv而不是所谓的不实用的轿跑
        本人是小米用户不攻击互相尊重友好交流我只是对小米提意见不代表唱衰小米看好小米",508,109,7,,2024-04-02,2024-04-02 11:36:18
"上海骑行遇困难街边假乞讨户晨风全球揭露假乞讨系列 
户晨风2023的微博视频",368,73,12,,2024-04-02,2024-04-02 11:31:01
"早上5点50分户晨风先生已经奔波在路上了赶往机场飞往成都 
福州",103,33,0,,2024-04-01,2024-04-01 05:51:58
"这个我来捞一下也是确实好用才会推给大家这款在模拟人手按摩这方面很厉害不仅是单纯按肉更多是贴合你肩颈的穴位发力力度完全作用在肌肉上仿手捏感很强完全就是把按摩师傅带在身边的感觉
送长辈他们应该也会很喜欢这个感觉送出去会被夸的 
网页链接",72,13,0,,2024-03-27,2024-03-27 16:46:06
"拍摄完视频回到酒店立刻剪辑饭点了点个外卖努力奋斗才能梦想成真啊 
        干就完了  
上海",110,31,0,,2024-03-26,2024-03-26 19:16:02
"微信这个垃圾软件我给房东转账交房租竟然限制我账户交易让我解释钱怎么来的还让我上传聊天记录 
        你大爷的钱是我一分一分辛苦挣得提供啥证据 你跟我说说
        让马化腾晚上9点来我直播间看直播吧
        申诉还申诉不过真是垃圾东西浪费我20元的提现手续费",929,203,24,,2024-03-25,2024-03-25 17:47:46
"凌晨1点钟下直播1点30睡觉早上610分起床睡了不到5小时户晨风先生就起来奔波了赶赴成都双流机场
        努力奋斗才能梦想成真啊 
成都",59,17,0,,2024-03-24,2024-03-24 07:04:11
"户晨风先生未来2周工作安排
        3月24日  成都飞南京
               25日26日  在家
               27日29日在上海拍摄
               31日   南京飞福州
                           在福州和兼职员工见面讨论工作
           4月1日   福州飞成都
                 2日   全天在成都办公
                 3日   成都飞嘉峪关
                 7日   嘉峪关飞南京
                 望周知",41,17,0,,2024-03-23,2024-03-23 10:07:35
"告别脊椎杀手享受仿人手按摩的舒适体验
您是否每天长时间坐在办公桌前感受着腰椎颈椎的不适在我国成年人每天平均久坐95小时腰椎颈椎问题者已突破3亿长时间的久坐和固定姿势已经成为了当代人的脊椎杀手年轻人更是成为了脊椎科的主力军肩周炎肌肉酸痛背部沉重等问题接连不断
而斜方肌的僵硬和肩颈经络的不畅不仅会导致含胸驼背体态前倾等多种形态问题还可能引发富贵包等健康隐患如果不及时排酸这些问题将会越来越严重
然而现在有了妙界mini肩颈按摩仪R3这些问题都可以得到有效的缓解这款按摩仪采用仿人手虎口夹揉技术强劲夹揉掐捏能够一步到位地放松脖颈斜方肌8d软胶按摩头上方四头夹揉肩颈下方两头掐揉肩背仿人手触感大面积直击肌肉酸痛处NTC智能恒温技术提供4045度的恒温热敷超大范围热敷让您感受到温暖和舒适
而且它还采用了无线设计全身可用不仅限于肩颈腰背连腿部都能揉捏轻巧的机身只有11kg穿戴式设计让您摆脱双手束缚想怎么按就怎么按一键操作简单易上手老人小孩都能使用可拆卸的枕套还可以定期清洁水洗保持卫生
与其他6d按摩仪相比市面上均在500甚至700而妙界日常仅需400我推广更是低至300而且真正做到了仿人手设计上方四头夹揉肩颈下方四头掐揉肩背力道酸爽强劲堪比老师傅手法高颜值的baby蓝外观加上轻巧便携的设计让您随时随地享受按摩的舒适体验
别再忍受脊椎问题的困扰了快来选择妙界mini肩颈按摩仪R3为您带来仿人手的舒适按摩体验吧大鹅卷在平仑区机会难得赶快行动吧",34,10,0,,2024-03-21,2024-03-21 14:18:31
"户晨风先生已抵达成都预计在成都工作5天望周知 
成都",58,15,1,,2024-03-20,2024-03-20 13:13:09
"业绩预告
          截止2024年3月19日
          户晨风直播间2024年3月净利润环比上月增长约150  同比去年同期增长约2300
          望周知",125,42,1,,2024-03-19,2024-03-19 15:37:30
"户晨风先生已抵达郑州将于周三返回成都工作望周知 
郑州",60,15,0,,2024-03-17,2024-03-17 23:05:55
约2004年前后户晨风先生在江苏镇江长江边拍摄留念,221,49,0,,2024-03-17,2024-03-17 09:47:25
"沈阳拍摄一切顺利 
        户晨风先生将于明晚抵达郑州 
        望周知 
沈阳",79,22,0,,2024-03-16,2024-03-16 18:03:26
"户晨风先生赶赴沈阳拍摄 
南京南京禄口国际机场",61,26,0,,2024-03-13,2024-03-13 16:50:24
2017年3月户晨风先生右1在江苏镇江某汽修厂工作期间全体员工合影留念,126,21,2,,2024-03-13,2024-03-13 01:35:22
2018年1月户晨风先生左1和好友在南京某餐厅拍照留念,171,18,1,,2024-03-11,2024-03-11 12:00:17
户晨风先生赶赴上海,99,16,0,,2024-03-11,2024-03-11 10:22:00
2019年2月户晨风先生在济南大明湖畔帮来自四川成都的陌生母子拍照留念,94,25,1,,2024-03-10,2024-03-10 19:38:44
"晚上在郊区坐在车里直播工地旁边晚上根本没啥人没想到这都碰到认识我的网友了
我是坐在车里面直播的啊",82,20,1,,2024-03-10,2024-03-10 15:53:24
"刚睡醒昨天晚上直播4小时挣了简简单单2600元纳税520元感恩各位网友感恩各位衣食父母吧
        江东父老能容我不使人间造孽钱",284,64,2,,2024-03-09,2024-03-09 09:11:53
户晨风先生返回江苏工作在机场等飞机也不空闲努力奋斗才能梦想成真 奥利给,94,31,0,,2024-03-08,2024-03-08 11:45:38
"在飞驰的高铁上感慨万千 
        你说我一个汽修工怎么就到成都做私募基金而后成了一名自媒体博主了呢 
        人的命运啊真的是不可预知
        一个人的命运当然要靠自我奋斗但同时也要考虑到历史的行程
        图3户晨风先生右一高一时期和挚友拍摄留念 
成都",152,50,0,,2024-03-06,2024-03-06 17:14:21
户晨风先生接下来一周的行程望周知,54,13,0,,2024-03-05,2024-03-05 20:49:35
"2月份我赚了多少钱户晨风收入公开系列2024年2月 
户晨风2023的微博视频",127,21,7,,2024-03-04,2024-03-04 11:54:15
"昨晚11点刚回到成都户晨风先生便投入工作中  
        努力奋斗才能梦想成真 
成都",74,16,0,,2024-03-04,2024-03-04 09:58:43
"户晨风先生已从厦门抵达成都天府机场另户先生将于本周五抵达江苏望周知 
成都成都天府国际机场",49,14,0,,2024-03-03,2024-03-03 20:12:17
"户晨风先生离开新加坡赶往厦门望周知
 
新加坡新加坡樟宜国际机场Changi Airport",129,25,0,,2024-03-02,2024-03-02 15:25:03
"面包店营业结束之后
        没有卖完的面包就是得扔
        理由如下
        1如果不扔没办法处理免费送就会导致一部分消费者不买面包只等着面包店快打烊的时候免费送
        长期而言对面包店的伤害更大因为免费送的面包人家可以第二天甚至第三天吃严重影响面包店业绩
       2免费送存在风险
             吃出问题要负责的但是自己本身一分钱也不挣收益为0但是风险全担这不公平
        结论卖不完的面包卖不掉的牛奶就是得扔掉也不能免费送 
新加坡新加坡国家图书馆",205,61,6,,2024-03-01,2024-03-01 13:37:20
"户晨风先生远眺新加坡海峡 
新加坡",110,30,0,,2024-02-29,2024-02-29 16:46:44
"2月28日
      户晨风先生在新加坡参观学习
      图1在新加坡街头
      图2游览新加坡滨海商业区
      图3参观全球排名第6的新加坡国立医院
      图4参观新加坡国立大学 
新加坡",269,54,17,,2024-02-28,2024-02-28 19:18:31
"应该最低成本处理流浪猫流浪狗
        比如把流浪猫狗卖给鳄鱼养殖场
        而不应该安乐死原因如下
        1安乐死流浪猫狗成本过高单只成本约90元人民币左右一年至少处理上百万只流浪猫狗至少花费上亿的成本钱应该用在刀刃上比如教育医疗而不是流浪猫狗
        2安乐死流浪猫狗谁来监督这笔钱的用途 这又需要监督成本附带成本过高
        3卖给鳄鱼养殖场反而能盈利反哺给纳税人进而能更多的捕流浪狗
        很多人说我残忍恰恰相反我是在乎人的生命每年流浪猫狗攻击儿童老人甚至成年人的例子不计其数
        造成很多人受伤甚至是死亡 
        如果不捕捉然后无害化处理那么该如何解决 请你给我一个比我更好的解决方案
        如果没有我这个就是最好的解决方案
        不攻击互相尊重友好交流",3911,1262,60,,2024-02-27,2024-02-27 22:39:56
"户晨风先生在新加坡
        图1为户晨风先生在新加坡拍摄期间遇到网友一起合影
        图23为户晨风先生在新加坡有关场所参观注户先生并没有信仰但是尊重信仰仅当景区参观请勿恶意解读 
新加坡",66,17,0,,2024-02-27,2024-02-27 22:21:59
"两个一人份套餐总共17新加坡币 人民币85不贵好吃干净 通透 
新加坡",306,69,4,,2024-02-26,2024-02-26 19:03:44
"节假日高铁之殇
        高铁运营存在巨大的问题
       1节假日应该把一列高铁一半的座位拆了甚至90的座位拆了只卖站票
       2节假日剩下10的座位票应该高价出售出售给真正有需要的人
       3只有这样才能在有限的高铁运营车次内尽可能高效的运送更多的人
        高铁本来就卖站票卖更多的站票这是解决节假日高铁列车不够的最佳方案你在节假日在乎的不是有没有座位而是能不能尽快到家",482,113,20,,2024-02-26,2024-02-26 19:02:02
"户晨风先生已抵达新加坡 
新加坡新加坡樟宜国际机场Changi Airport",150,28,1,,2024-02-26,2024-02-26 15:44:48
"出发新加坡了我将于3月2日晚上返回
        望周知 勿念 
成都成都天府国际机场",107,25,0,,2024-02-26,2024-02-26 09:54:13
"疑似常州机场工作人员投诉下架我的视频我是这么应对的户晨风全球随手拍系列 
户晨风2023的微博视频",146,41,1,,2024-02-25,2024-02-25 09:43:53
兄弟们1000新加坡元在新加坡正常花能花多久,103,20,1,,2024-02-23,2024-02-23 17:48:43
"告网友书
        户晨风被威胁杀全家案并没有结束
        无论最终怎么处理威胁者也不影响我对威胁者发起民事起诉我将4赴南宁解决此事 
         民事诉讼有效期3年时间充裕
         我将从新加坡回国后积极处理此事 
         望周知",183,40,0,,2024-02-22,2024-02-22 17:07:55
2017年8月户晨风先生在镇江五峰山长江大桥施工现场留照,130,32,1,,2024-02-21,2024-02-21 18:58:32
早上好吃早饭了么,98,32,0,,2024-02-21,2024-02-21 10:06:04
"户晨风先生已抵达成都 
        望周知",94,51,1,,2024-02-19,2024-02-19 17:12:49
"你的消费你的选择决定了这个世界未来的走向
        这两天开通了
                剪映的年度会员128元
                提前开通了B站的超级大会员
          虽然B站的超级大会员我根本用不到但是我在B站吃饭我希望B站好 
          要付费要向自己认可的东西付费这样他们才会越来越好",87,20,1,,2024-02-19,2024-02-19 13:46:55
"流浪狗之殇
        应该全面捕杀流浪猫狗且依法以最低成本无害化处理
        1流浪猫狗携带狂犬病毒对人类安全造成致命威胁
        2流浪猫狗本不属于生态链一部分破坏生态平衡
        3无害化处理流浪猫狗应该以最低成本的方式来处理不能安乐死因为太贵
        4严惩喂养流浪猫狗的人应该承担民事及刑事责任",4793,1130,80,,2024-02-17,2024-02-17 18:37:50
"1月份我赚了3万多户晨风收入公开系列2024年1月 
户晨风2023的微博视频",203,50,9,,2024-02-16,2024-02-16 13:06:10
昨天直播3小时赚了1600元早上一醒来又提现1580元缴税252元通透,42,10,1,,2024-02-16,2024-02-16 12:16:26
"作为中产阶级不买医疗险出国不买意外险和医疗险
        因此付出几十万甚至百万的医疗费我不可怜你
        成年人有风险意识这是最基本的我这次去新加坡还没出发就提前买好了新加坡的医疗险和意外险而且买的高端的花了120普通的就60
        不想把钱让别人赚那你就自己承担所有风险吧",71,19,4,,2024-02-15,2024-02-15 18:39:00
"户晨风先生将于2月26日抵达新加坡望周知
        图1是户晨风先生2月3月初的行程安排望周知",69,25,3,,2024-02-14,2024-02-14 20:28:38
"运动员之殇
        应该取消对运动员的一切工资补贴待遇就不应该养一群运动员
        1不应该让一群身体健康的运动员被纳税人的钱养着
        2自己想做运动员自己花钱请教练租运动场地
        3自己没钱还想练体育就去社会上募资找投资人找不到就不要练因为募资也是能力的一部分
        4花纳税人的钱养运动员运动员失败了纳税人承担代价运动员成功了荣誉金钱属于自己还是纳税人承担代价这不对等",226,47,5,,2024-02-14,2024-02-14 12:27:23
"昨晚直播3个半小时共收到3890元的礼物我到手1945元纳税389元税后到手1556元
       我纳税 我骄傲
喜极而泣",512,79,17,,2024-02-14,2024-02-14 12:04:00
两天没直播了今天提现发现只能提100多元了必须要大播特播,117,25,1,,2024-02-13,2024-02-13 09:03:26
"重要声明
        本人仅有B站微博抖音这3个平台的视频账号其他一切平台均为冒充 
        望周知",61,33,3,,2024-02-12,2024-02-12 09:47:47
"兄弟们又挣到钱了昨晚直播3小时挣了1500元感谢各位直播间的网友 
       今天我一睁眼又简简单单提现2000元纳税320元我骄傲",234,44,4,,2024-02-11,2024-02-11 10:46:43
大年初一感谢直播间各位网友厚爱昨天晚上直播3个多小时简简单单收入4100元纳税850元感恩吧,700,78,14,,2024-02-10,2024-02-10 11:16:34
挣到钱了兄弟们 早上又纳税320元,197,32,6,,2024-02-09,2024-02-09 09:50:14
"梅西事件
        结论主办方承担全部责任
        1梅西是否遵守了合同 
              如果遵守了无可厚非
              如果没有遵守应该承担违约金
              违约金赔给购票球迷
        2你球迷购票是和主办方发生的合同不是和梅西有什么问题应该找主办方
        3如果梅西遵守了合同那说明主办方不专业签合同极其业余 没有约定好义务
        一切以合同为准道德是用来约束自己的法律是用来约束他人的",163,43,11,,2024-02-08,2024-02-08 01:06:17
早上好尊敬的微友今天健身了么,168,33,2,,2024-02-06,2024-02-06 09:19:19
"重要声明
        本人户晨风自2020年8月起未曾卖出持有的任何一股A股股票
        用自己的行为用自己的真金白银看好A股的未来

         特此声明",85,17,0,,2024-02-05,2024-02-05 15:13:44
"烟花爆竹之殇
        结论应该全面禁止燃放烟花爆竹
        原因如下
        1烟花爆竹每年造成他人财产损失的例子不计其数包括但不仅限于车子燃烧房子起火行人被炸伤而这些案件绝大部分找不到肇事者
        2烟花爆竹剥夺了他人的休息权很吵声音巨大
         以上两点如果得不到解决烟花爆竹应该一直被禁止燃放 
上海",123,34,3,,2024-02-04,2024-02-04 17:42:53
"中餐之殇
       1中餐调料太多调味太重根本不是吃食材本来的味道
       2各种各样的碳水摄入主要吃碳水十分不健康
       3由于中餐重油重盐导致后厨卫生十分难保障
       我个人工作餐主要吃汉堡碳水肉蔬菜都有且后厨卫生干净比一碗面条一碗米饭健康太多了 
上海",304,91,4,,2024-02-04,2024-02-04 13:43:35
"户晨风先生在上海 
上海",91,24,0,,2024-02-03,2024-02-03 18:17:59
"国货之殇
        我生活中能力范围之内都是尽量避免购买国产品牌的原因如下
        1维权困难
              国产品牌出现质量问题违法添加某些东西虚假宣传的情况下个人消费者面对厂家维权成本太高本人就面临过这种情况比如某某某药违法在牙膏中添加氨甲环酸此事最后不了了之我深受其害
               但是如果外国品牌有违法情况我都不用自己维权就有一堆人帮我维权
        2价格过高
              同样质量同样功能的国货产品甚至价格高于进口产品很多服装衣物也是如此一些主打国货的服装品牌价格比耐克阿迪贵的多何谈性价比 
        3售后保障
              外资品牌大多企业经营历史较长你不用担心它明年倒闭了或者售后没了而有些主打国货的品牌过几年一看品牌都没了你买的那些玩意直接没售后了
        结语
                  作为消费者趋利避害这是人之常情只有有了竞争国货才会变好竞争是啥 就是谁好选谁",320,73,9,,2024-02-02,2024-02-02 10:06:21
停播2天不直播晚上已经不知道要干嘛了,100,26,0,,2024-02-01,2024-02-01 21:44:46
兄弟们又醒了 昨晚简单直播4小时挣了大约3000早上一睁眼又纳税240提现1760感恩吧盖了帽了,159,40,1,,2024-02-01,2024-02-01 09:15:03
"白酒之殇
        酒文化是糟粕文化的巅峰代表之作
        1根本没有什么酒文化只有酒桌文化目的就是逼你喝酒
        2任何一个味蕾正常的人都不可能喜欢喝白酒你喜欢的只是白酒背后所代表的东西
        3白酒根本没有好坏真假之分你也品不出来是真是假你喝的仅仅是那个瓶子
        4能够把一类致癌物幻想出各种对身体好的功能真是臆想的巅峰了
        不攻击互相尊重友好交流",358,87,31,,2024-01-31,2024-01-31 13:34:16
早上一睁眼昨天加起来又赚了1000多纳税300元微博昨天赚了120感恩吧,74,19,0,,2024-01-31,2024-01-31 10:52:00
"我不买格力的产品同种类产品有选择我会买日本品牌的
        不知道为什么会引起这么大的轰动 
        实事求是的来讲日本品牌做的时间久口碑好产品本身也没毛病消费者趋利避害选择可靠品牌很正常啊
        我日常生活中我能负担的起的基本都是优先买进口的东西
         这有什么问题么 
         不攻击互相尊重友好交流",453,178,16,,2024-01-31,2024-01-31 00:09:17
"重要声明
        因格力电器2024年年会不符合本人价值观
        从2024年1月30日起本人将不再购买任何格力电器的产品及其控股品牌产品将会选择美的或者同产品的日本品牌产品望周知",8889,1826,222,"格力,格力电器,董明珠",2024-01-30,2024-01-30 13:15:00
户晨风先生将于2月3日抵达上海,76,29,0,,2024-01-30,2024-01-30 12:35:07
早上一睁眼就提现1520元缴纳了480元的个人所得税我纳税 我骄傲,109,35,0,,2024-01-30,2024-01-30 09:02:58
"英国钢琴事件
        观点我旗帜鲜明的支持钢琴家在公共场合自由拍摄的权利此举也符合英国法律
       1如果你不希望在公共场合被拍摄到请你把头遮起来包括但不仅限于戴口罩戴墨镜拿垃圾袋蒙头
       2你节目保密和其他人有啥关系 你保密你自己应该做好保密措施而不是让其他人把眼睛闭上把摄像头挡起来
       3你可以不爽别人拍你但这就是英国法律请遵守所在国法律",222,58,5,,2024-01-29,2024-01-29 17:30:51
"经络之殇
       1压根就不存在经络这个东西
       2证有不证无如果存在经络请拿出证据
       3拿不出证据就不要幻想经络的存在",238,83,6,,2024-01-29,2024-01-29 17:25:02
这一队排了这么长全是化疗输液的,48,13,0,,2024-01-29,2024-01-29 14:21:10
